id,year,week,submitter,prop_bet_id,pick,submitted_at
30,2026,1,AntonioT,20,under,2026-09-08 19:10:22.065825
26,2026,1,AntonioT,12,over,2026-09-08 19:10:22.065825
27,2026,1,AntonioT,27,over,2026-09-08 19:10:22.065825
28,2026,1,AntonioT,93,over,2026-09-08 19:10:22.065825
29,2026,1,AntonioT,96,over,2026-09-08 19:10:22.065825
1,2026,1,NathanP,53,under,2026-09-08 18:41:31.075018
2,2026,1,NathanP,54,under,2026-09-08 18:41:31.075018
3,2026,1,NathanP,51,over,2026-09-08 18:41:31.075018
4,2026,1,NathanP,49,under,2026-09-08 18:41:31.075018
5,2026,1,NathanP,14,over,2026-09-08 18:41:31.075018
40,2026,2,AntonioT,225,under,2026-09-17 22:09:18
36,2026,2,AntonioT,182,over,2026-09-17 22:09:18
37,2026,2,AntonioT,172,over,2026-09-17 22:09:18
38,2026,2,AntonioT,183,over,2026-09-17 22:09:18
39,2026,2,AntonioT,188,over,2026-09-17 22:09:18
31,2026,2,EdwardD,192,over,2026-09-16 03:41:12
32,2026,2,EdwardD,183,over,2026-09-16 03:41:12
33,2026,2,EdwardD,186,over,2026-09-16 03:41:12
34,2026,2,EdwardD,179,over,2026-09-16 03:41:12
35,2026,2,EdwardD,180,over,2026-09-16 03:41:12
