PLAYER,POS,TEAM,OPP,ML,O/U,SPRD,TM/P,SAL,FPTS,VAL,PASS ATT,RUSH ATT,TARGETS,TOUCHES,TOUCHES/$
Josh Allen,QB,BUF,MIA,-275,49.50,-6.00,27.75,7700,23.59,3.1,32.9,6.5,0.0,6.5,5.1
Daniel Jones,QB,NYG,WAS,156,44.00,3.50,20.25,5200,16.05,3.1,34.1,4.9,0.0,4.9,7.5
Will Levis,QB,TEN,NE,-179,38.00,-3.50,20.75,4600,14.11,3.1,32.4,2.8,0.0,2.8,7.7
Gardner Minshew,QB,LV,CIN,271,46.50,7.50,19.50,4500,13.67,3.0,33.6,2.9,0.0,2.9,8.1
Sam Darnold,QB,MIN,IND,-240,46.50,-5.50,26.00,6000,18.23,3.0,34.4,2.7,0.0,2.7,6.2
Matthew Stafford,QB,LAR,SEA,-123,48.50,-1.50,25.00,5700,17.23,3.0,34.4,0.9,0.0,0.9,6.2
Dak Prescott,QB,DAL,ATL,121,52.00,2.50,24.75,6300,18.91,3.0,33.1,3.2,0.0,3.2,5.8
Geno Smith,QB,SEA,LAR,103,48.50,1.50,23.50,5800,17.28,3.0,34.2,2.8,0.0,2.8,6.4
Kyler Murray,QB,ARI,CHI,-115,44.50,-1.00,22.75,6600,19.00,2.9,29.9,7.0,0.0,7.0,5.6
Justin Herbert,QB,LAC,CLE,-124,42.50,-1.50,22.00,5300,15.34,2.9,32.7,3.2,0.0,3.2,6.8
Bryce Young,QB,CAR,NO,287,43.50,7.50,18.00,4400,12.89,2.9,31.6,2.9,0.0,2.9,7.8
Lamar Jackson,QB,BAL,DEN,-451,45.50,-9.00,27.25,8000,23.52,2.9,30.1,9.5,0.0,9.5,5.0
Jameis Winston,QB,CLE,LAC,103,42.50,1.50,20.50,5400,15.69,2.9,34.1,2.1,0.0,2.1,6.7
New York Jets,D,NYJ,HOU,-125,42.00,-1.50,21.75,2400,6.93,2.9,0.0,0.0,0.0,0.0,0.0
Joe Flacco,QB,IND,MIN,194,46.50,5.50,20.50,5700,15.91,2.8,34.2,1.9,0.0,1.9,6.3
Jalen Hurts,QB,PHI,JAX,-352,45.50,-7.50,26.50,7800,21.93,2.8,29.0,8.9,0.0,8.9,4.9
Caleb Williams,QB,CHI,ARI,100,44.50,1.00,21.75,6100,16.85,2.8,32.1,4.0,0.0,4.0,5.9
Joe Burrow,QB,CIN,LV,-351,46.50,-7.50,27.00,6900,19.64,2.8,34.3,3.2,0.0,3.2,5.4
Jayden Daniels,QB,WAS,NYG,-189,44.00,-3.50,23.75,7500,20.90,2.8,28.2,9.1,0.0,9.1,5.0
Aaron Rodgers,QB,NYJ,HOU,-125,42.00,-1.50,21.75,5700,15.36,2.7,32.9,1.9,0.0,1.9,6.1
Chris Olave,WR,NO,CAR,-368,43.50,-7.50,25.50,6100,16.27,2.7,0.0,0.1,8.6,8.7,1.4
Patrick Mahomes,QB,KC,TB,-448,45.50,-8.50,27.00,6700,17.10,2.6,34.0,4.1,0.0,4.1,5.7
Tua Tagovailoa,QB,MIA,BUF,221,49.50,6.00,21.75,6200,16.23,2.6,30.8,1.9,0.0,1.9,5.3
Jared Goff,QB,DET,GB,-175,48.00,-3.50,25.75,6500,16.61,2.6,28.0,1.5,0.0,1.5,4.5
Trevor Lawrence,QB,JAX,PHI,277,45.50,7.50,19.00,5600,14.68,2.6,32.0,3.0,0.0,3.0,6.3
Jakobi Meyers,WR,LV,CIN,271,46.50,7.50,19.50,5300,13.88,2.6,0.1,0.4,8.5,8.9,1.7
Baker Mayfield,QB,TB,KC,343,45.50,8.50,18.50,6500,16.67,2.6,36.4,3.2,0.0,3.2,6.1
Derek Carr,QB,NO,CAR,-368,43.50,-7.50,25.50,5600,14.45,2.6,31.2,1.8,0.0,1.8,5.9
Kirk Cousins,QB,ATL,DAL,-145,52.00,-2.50,27.25,6400,16.66,2.6,32.8,1.7,0.0,1.7,5.4
Drake Maye,QB,NE,TEN,147,38.00,3.50,17.25,5500,13.84,2.5,30.4,5.8,0.0,5.8,6.6
Drake London,WR,ATL,DAL,-145,52.00,-2.50,27.25,6700,16.66,2.5,0.0,0.1,8.5,8.6,1.3
Jordan Love,QB,GB,DET,144,48.00,3.50,22.25,7000,17.69,2.5,31.9,2.6,0.0,2.6,4.9
Bo Nix,QB,DEN,BAL,350,45.50,9.00,18.25,5900,14.56,2.5,32.7,4.2,0.0,4.2,6.3
Cedric Tillman,WR,CLE,LAC,103,42.50,1.50,20.50,4300,10.90,2.5,0.0,0.2,7.1,7.3,1.7
Kansas City Chiefs,D,KC,TB,-448,45.50,-8.50,27.00,3100,7.57,2.4,0.0,0.0,0.0,0.0,0.0
C.J. Stroud,QB,HOU,NYJ,105,42.00,1.50,20.25,6800,16.26,2.4,34.4,2.7,0.0,2.7,5.5
Philadelphia Eagles,D,PHI,JAX,-352,45.50,-7.50,26.50,3100,7.55,2.4,0.0,0.0,0.0,0.0,0.0
Alvin Kamara,RB,NO,CAR,-368,43.50,-7.50,25.50,7800,18.80,2.4,0.0,16.5,4.9,21.4,2.7
Bijan Robinson,RB,ATL,DAL,-145,52.00,-2.50,27.25,7400,17.81,2.4,0.0,15.1,4.5,19.6,2.6
Tyreek Hill,WR,MIA,BUF,221,49.50,6.00,21.75,7300,17.73,2.4,0.0,0.3,9.3,9.6,1.3
Breece Hall,RB,NYJ,HOU,-125,42.00,-1.50,21.75,7500,17.71,2.4,0.0,16.9,4.4,21.3,2.8
Tennessee Titans,D,TEN,NE,-179,38.00,-3.50,20.75,3200,7.39,2.3,0.0,0.0,0.0,0.0,0.0
Arizona Cardinals,D,ARI,CHI,-115,44.50,-1.00,22.75,2600,6.01,2.3,0.0,0.0,0.0,0.0,0.0
Carolina Panthers,D,CAR,NO,287,43.50,7.50,18.00,2400,5.55,2.3,0.0,0.0,0.0,0.0,0.0
Jaylen Waddle,WR,MIA,BUF,221,49.50,6.00,21.75,5500,12.51,2.3,0.0,0.2,7.0,7.2,1.3
Jonnu Smith,TE,MIA,BUF,221,49.50,6.00,21.75,3500,7.94,2.3,0.0,0.0,4.7,4.7,1.3
