first_name,last_name,position,injury_status,week,game_date,slate,team,opp,spread,over_under,implied_team_score,salary,L5_dvp_rank,L5_fppg_avg,L10_fppg_avg,szn_fppg_avg,proj_points,value,ppg_actual,value_actual,player
Jahmyr,Gibbs,RB,,14,12/4/25,Thu-Mon,DET,DAL,-3.5,54.5,29,8600,22,27.9,24.8,23.6,25,2.9,,,Jahmyr Gibbs
Josh,Allen,QB,,14,12/7/25,Thu-Mon,BUF,CIN,-5.5,53.5,29.5,7700,27,25.7,24,24.4,23.7,3.08,,,Josh Allen
Jonathan,Taylor,RB,,14,12/7/25,Thu-Mon,IND,JAX,-1.5,46.5,24,9300,4,24.9,26.7,26.1,22.1,2.38,,,Jonathan Taylor
Jaxon,Smith-Njigba,WR,,14,12/7/25,Thu-Mon,SEA,ATL,-6.5,44.5,25.5,9000,19,22.7,24,23.7,21.9,2.43,,,Jaxon Smith-Njigba
De'Von,Achane,RB,,14,12/7/25,Thu-Mon,MIA,NYJ,-2.5,41.5,22,8800,27,25.4,22.4,22.2,21.8,2.48,,,De'Von Achane
Puka,Nacua,WR,,14,12/7/25,Thu-Mon,LAR,ARI,-8.5,47.5,28,8700,15,17.1,20.7,21.2,21.1,2.43,,,Puka Nacua
Ja'Marr,Chase,WR,,14,12/7/25,Thu-Mon,CIN,BUF,5.5,53.5,24,8200,12,21.9,22.3,20.7,21,2.56,,,Ja'Marr Chase
Dak,Prescott,QB,,14,12/4/25,Thu-Mon,DAL,DET,3.5,54.5,25.5,6300,26,21.2,22.8,21.8,20.7,3.29,,,Dak Prescott
Matthew,Stafford,QB,,14,12/7/25,Thu-Mon,LAR,ARI,-8.5,47.5,28,6900,10,20.9,21.7,20.7,20,2.9,,,Matthew Stafford
Bijan,Robinson,RB,,14,12/7/25,Thu-Mon,ATL,SEA,6.5,44.5,19,8500,7,21.9,22.4,22.8,19.7,2.32,,,Bijan Robinson
Lamar,Jackson,QB,Q,14,12/7/25,Thu-Mon,BAL,PIT,-5.5,42.5,24,6700,28,13.1,18.1,17.9,19.7,2.93,,,Lamar Jackson
Joe,Burrow,QB,,14,12/7/25,Thu-Mon,CIN,BUF,5.5,53.5,24,6500,2,17.8,21.8,11.7,19.2,2.95,,,Joe Burrow
Josh,Jacobs,RB,Q,14,12/7/25,Thu-Mon,GB,CHI,-6.5,44.5,25.5,6800,15,13.7,17.8,17.4,19.2,2.83,,,Josh Jacobs
James,Cook III,RB,,14,12/7/25,Thu-Mon,BUF,CIN,-5.5,53.5,29.5,7800,32,19.2,19.6,20.5,19.1,2.45,,,James Cook III
Jameson,Williams,WR,,14,12/4/25,Thu-Mon,DET,DAL,-3.5,54.5,29,5800,32,18.6,14.8,14,18.8,3.24,,,Jameson Williams
CeeDee,Lamb,WR,,14,12/4/25,Thu-Mon,DAL,DET,3.5,54.5,25.5,7500,27,17.3,20.6,19.5,18.7,2.49,,,CeeDee Lamb
