first_name,last_name,position,injury_status,week,game_date,slate,team,opp,spread,over_under,implied_team_score,salary,L5_dvp_rank,L5_fppg_avg,L10_fppg_avg,szn_fppg_avg,proj_points,value,ownership_projection,player
Jaxon,Smith-Njigba,WR,,18,2026-01-03,Sat-Sun,SEA,SF,-1.5,47.5,24.5,8600,19,23.5,24.9,23.8,24.9,2.89,,Jaxon Smith-Njigba
Christian,McCaffrey,RB,Q,18,2026-01-03,Sat-Sun,SF,SEA,1.5,47.5,23.0,8800,3,26.2,26.2,25.7,23.1,2.62,,Christian McCaffrey
Jahmyr,Gibbs,RB,,18,2026-01-04,Sat-Sun,DET,CHI,2.5,50.5,24.0,8000,11,27.9,25.7,23.5,22.7,2.84,,Jahmyr Gibbs
Trevor,Lawrence,QB,,18,2026-01-04,Sat-Sun,JAX,TEN,-12.5,47.5,30.0,6400,24,28.1,22.8,20.6,21.6,3.37,,Trevor Lawrence
Puka,Nacua,WR,,18,2026-01-04,Sat-Sun,LAR,ARI,-7.5,45.5,26.5,9000,14,29.8,23.4,25.2,21.3,2.36,,Puka Nacua
Bijan,Robinson,RB,,18,2026-01-04,Sat-Sun,ATL,NO,-3.5,45.5,24.5,8700,18,23.7,20.8,23.0,21.0,2.41,,Bijan Robinson
Dak,Prescott,QB,,18,2026-01-04,Sat-Sun,DAL,NYG,-3.5,51.5,27.5,6800,26,22.0,20.6,21.1,20.9,3.07,,Dak Prescott
De'Von,Achane,RB,,18,2026-01-04,Sat-Sun,MIA,NE,10.5,45.5,17.5,8200,6,20.2,22.8,21.4,20.8,2.54,,De'Von Achane
Jalen,Hurts,QB,,18,2026-01-04,Sat-Sun,PHI,WAS,-4.5,38.5,21.5,6500,29,19.4,19.8,20.2,20.8,3.19,,Jalen Hurts
Jaxson,Dart,QB,,18,2026-01-04,Sat-Sun,NYG,DAL,3.5,51.5,24.0,5700,32,18.5,20.3,16.9,20.5,3.6,,Jaxson Dart
Drake,Maye,QB,,18,2026-01-04,Sat-Sun,NE,MIA,-10.5,45.5,28.0,7100,25,20.6,21.8,21.2,20.1,2.84,,Drake Maye
Ja'Marr,Chase,WR,,18,2026-01-04,Sat-Sun,CIN,CLE,-7.5,44.5,26.0,8500,3,17.3,22.6,20.5,19.8,2.32,,Ja'Marr Chase
Joe,Burrow,QB,,18,2026-01-04,Sat-Sun,CIN,CLE,-7.5,44.5,26.0,6700,4,18.2,19.7,16.7,19.1,2.84,,Joe Burrow
Caleb,Williams,QB,,18,2026-01-04,Sat-Sun,CHI,DET,-2.5,50.5,26.5,5900,28,17.8,18.2,19.0,19.0,3.22,,Caleb Williams
Matthew,Stafford,QB,,18,2026-01-04,Sat-Sun,LAR,ARI,-7.5,45.5,26.5,6900,14,23.9,22.4,22.1,19.0,2.75,,Matthew Stafford
Amon-Ra,St. Brown,WR,Q,18,2026-01-04,Sat-Sun,DET,CHI,2.5,50.5,24.0,7700,23,20.4,17.8,19.8,18.8,2.44,,Amon-Ra St. Brown
