book,player_name,team,category,line,side,odds,implied_prob,model_prob,ev_pct,hist_rate,weighted_rate,last3_rate,market_prob,market_source,avg_targets,avg_carries,last_snap_pct,team_changed,team_pass_att_pg,players_with_catch_pg
caesars,Keon Coleman,buf,receptions,1.5,Over,147,0.405,0.523,29.2,11/13,0.673,1/3,0.383,6 other book(s),4.3,0.0,50.0,False,29.1,8.1
caesars,Saquon Barkley,phi,receptions,1.5,Under,136,0.424,0.528,24.6,7/16,0.669,3/3,0.39,1 other book(s),2.9,17.3,70.9,False,28.4,5.9
draftkings,Keon Coleman,buf,receptions,1.5,Over,136,0.424,0.521,23.0,11/13,0.673,1/3,0.379,6 other book(s),4.3,0.0,50.0,False,29.1,8.1
caesars,Dawson Knox,buf,receptions,1.5,Over,123,0.448,0.482,7.4,8/16,0.536,1/3,0.428,6 other book(s),2.9,0.0,67.2,False,29.1,8.1
draftkings,Dawson Knox,buf,receptions,1.5,Over,122,0.45,0.48,6.6,8/16,0.536,1/3,0.426,6 other book(s),2.9,0.0,67.2,False,29.1,8.1
caesars,MarShawn Lloyd,gnb,receptions,1.5,Under,-143,0.588,0.611,3.8,1/1,1.0,1/1,0.546,3 other book(s),1.0,13.0,44.1,False,30.9,7.8
draftkings,Joshua Palmer,buf,receptions,1.5,Over,158,0.388,0.383,-1.1,7/12,0.39,0/3,0.377,5 other book(s),3.0,0.0,31.0,False,29.1,8.1
caesars,Isaac TeSlaa,det,receptions,1.5,Under,-140,0.583,0.573,-1.8,12/16,0.581,1/3,0.565,5 other book(s),1.6,0.0,67.5,False,34.1,6.1
draftkings,Tyquan Thornton,kan,receptions,1.5,Under,-205,0.672,0.645,-4.0,9/15,0.649,1/3,0.642,4 other book(s),2.5,0.0,68.1,False,34.1,7.3
caesars,Joshua Palmer,buf,receptions,1.5,Over,150,0.4,0.383,-4.2,7/12,0.39,0/3,0.377,5 other book(s),3.0,0.0,31.0,False,29.1,8.1
draftkings,Jared Goff,det,rushing-yards,0.5,Under,-150,0.6,0.572,-4.7,9/16,0.533,1/3,0.61,2 other book(s),0.0,1.2,100.0,False,34.1,6.1
draftkings,Isaac TeSlaa,det,receptions,1.5,Under,-149,0.598,0.57,-4.7,12/16,0.581,1/3,0.56,5 other book(s),1.6,0.0,67.5,False,34.1,6.1
caesars,Tyquan Thornton,kan,receptions,1.5,Under,-218,0.686,0.645,-6.0,9/15,0.649,1/3,0.64,4 other book(s),2.5,0.0,68.1,False,34.1,7.3
draftkings,Jared Goff,det,rushing-yards,0.5,Over,119,0.457,0.428,-6.2,7/16,0.467,2/3,0.39,2 other book(s),0.0,1.2,100.0,False,34.1,6.1
draftkings,Isaac TeSlaa,det,receptions,1.5,Over,117,0.461,0.43,-6.8,4/16,0.419,2/3,0.44,5 other book(s),1.6,0.0,67.5,False,34.1,6.1
caesars,Tyquan Thornton,kan,receptions,1.5,Over,161,0.383,0.355,-7.2,6/15,0.351,2/3,0.36,4 other book(s),2.5,0.0,68.1,False,34.1,7.3
caesars,Joshua Palmer,buf,receptions,1.5,Under,-200,0.667,0.617,-7.5,5/12,0.61,3/3,0.623,5 other book(s),3.0,0.0,31.0,False,29.1,8.1
draftkings,Joshua Palmer,buf,receptions,1.5,Under,-203,0.67,0.617,-8.0,5/12,0.61,3/3,0.623,5 other book(s),3.0,0.0,31.0,False,29.1,8.1
draftkings,Tyquan Thornton,kan,receptions,1.5,Over,159,0.386,0.355,-8.2,6/15,0.351,2/3,0.358,4 other book(s),2.5,0.0,68.1,False,34.1,7.3
caesars,Isaac TeSlaa,det,receptions,1.5,Over,111,0.474,0.427,-9.9,4/16,0.419,2/3,0.435,5 other book(s),1.6,0.0,67.5,False,34.1,6.1
draftkings,Dawson Knox,buf,receptions,1.5,Under,-156,0.609,0.52,-14.7,8/16,0.464,2/3,0.574,6 other book(s),2.9,0.0,67.2,False,29.1,8.1
caesars,Dawson Knox,buf,receptions,1.5,Under,-162,0.618,0.518,-16.2,8/16,0.464,2/3,0.572,6 other book(s),2.9,0.0,67.2,False,29.1,8.1
caesars,MarShawn Lloyd,gnb,receptions,1.5,Over,110,0.476,0.389,-18.2,0/1,0.0,0/1,0.454,3 other book(s),1.0,13.0,44.1,False,30.9,7.8
draftkings,Keon Coleman,buf,receptions,1.5,Under,-174,0.635,0.479,-24.6,2/13,0.327,2/3,0.621,6 other book(s),4.3,0.0,50.0,False,29.1,8.1
caesars,Saquon Barkley,phi,receptions,1.5,Over,-179,0.642,0.472,-26.4,9/16,0.331,0/3,0.61,1 other book(s),2.9,17.3,70.9,False,28.4,5.9
caesars,Keon Coleman,buf,receptions,1.5,Under,-197,0.663,0.477,-28.1,2/13,0.327,2/3,0.617,6 other book(s),4.3,0.0,50.0,False,29.1,8.1
