player,category,over_book,over_line,over_odds,under_book,under_line,under_odds,width,p_middle,ev_pct_per_leg,ev_over_leg,ev_under_leg
Malik Washington,receiving-yards,draftkings,27.5,-115,caesars,30.5,-114,3.0,0.051,-1.61,4.81,-8.04
Tyquan Thornton,receiving-yards,caesars,13.5,-115,draftkings,15.5,-116,2.0,0.052,-1.82,-1.62,-2.02
Tee Higgins,receiving-yards,draftkings,51.5,-111,caesars,54.5,-115,3.0,0.036,-2.32,1.5,-6.14
Mike Gesicki,receiving-yards,draftkings,23.5,-115,caesars,25.5,-113,2.0,0.038,-2.63,0.5,-5.75
Jalen Coker,receiving-yards,draftkings,47.5,-112,caesars,50.5,-117,3.0,0.038,-2.78,-2.07,-3.5
Tyler Warren,receiving-yards,caesars,43.5,-117,draftkings,46.5,-114,3.0,0.041,-2.85,-6.32,0.62
Christian Watson,receiving-yards,draftkings,59.5,-111,caesars,61.5,-113,2.0,0.023,-3.21,-1.56,-4.86
Cam Ward,rushing-yards,caesars,11.5,-114,draftkings,12.5,-114,1.0,0.031,-3.21,-6.14,-0.28
Jameson Williams,receptions,draftkings,3.5,-162,caesars,4.5,-160,1.0,0.194,-3.24,-0.41,-6.07
Bhayshul Tuten,rushing-yards,draftkings,49.5,-114,caesars,51.5,-113,2.0,0.028,-3.36,-2.26,-4.45
Josh Allen,pass-attempts,caesars,30.5,-118,draftkings,31.5,-123,1.0,0.055,-3.46,-5.76,-1.16
Jordan Addison,receptions,draftkings,2.5,-168,caesars,3.5,-179,1.0,0.224,-3.54,-5.81,-1.27
Greg Dulcich,receiving-yards,draftkings,21.5,-108,caesars,22.5,-117,1.0,0.02,-3.55,0.91,-8.0
Emmett Johnson,rushing-yards,draftkings,16.5,-112,caesars,17.5,-115,1.0,0.025,-3.59,-0.86,-6.33
Matthew Stafford,passing-yards,caesars,243.5,-114,draftkings,247.5,-113,4.0,0.024,-3.71,-4.1,-3.31
Tony Pollard,rushing-yards,draftkings,43.5,-109,caesars,44.5,-114,1.0,0.015,-3.72,-1.8,-5.63
Saquon Barkley,receiving-yards,caesars,10.5,-117,draftkings,11.5,-114,1.0,0.032,-3.75,-3.5,-4.0
Jacoby Brissett,passing-yards,caesars,217.5,-114,draftkings,220.5,-111,3.0,0.019,-3.76,-6.73,-0.79
Luther Burden,receiving-yards,draftkings,49.5,-114,caesars,51.5,-114,2.0,0.025,-3.78,-3.78,-3.78
Jaylen Waddle,receiving-yards,caesars,52.5,-117,draftkings,54.5,-111,2.0,0.025,-3.79,-6.51,-1.06
Carnell Tate,receiving-yards,draftkings,40.5,-110,caesars,41.5,-113,1.0,0.014,-3.81,-2.24,-5.37
Courtland Sutton,receiving-yards,caesars,42.5,-112,draftkings,43.5,-111,1.0,0.014,-3.83,-6.32,-1.35
De'Von Achane,rushing-yards,caesars,54.5,-114,draftkings,56.5,-115,2.0,0.027,-3.85,-6.24,-1.46
Lamar Jackson,rushing-yards,draftkings,39.5,-112,caesars,40.5,-112,1.0,0.016,-3.88,-3.35,-4.4
Javonte Williams,receiving-yards,caesars,11.5,-112,draftkings,12.5,-119,1.0,0.03,-3.89,-4.48,-3.3
J.K. Dobbins,rushing-yards,caesars,60.5,-113,draftkings,61.5,-110,1.0,0.013,-3.96,-4.17,-3.75
Patrick Mahomes,rushing-yards,draftkings,15.5,-117,caesars,16.5,-112,1.0,0.025,-4.0,-0.41,-7.59
Stefon Diggs,receiving-yards,caesars,46.5,-117,draftkings,48.5,-113,2.0,0.026,-4.03,-6.51,-1.55
Javonte Williams,rushing-yards,caesars,73.5,-113,draftkings,74.5,-110,1.0,0.011,-4.07,-5.75,-2.39
Dak Prescott,passing-yards,caesars,262.5,-113,draftkings,265.5,-113,3.0,0.017,-4.12,-5.75,-2.48
Jahmyr Gibbs,rushing-and-receiving-yards,draftkings,122.5,-114,caesars,125.5,-115,3.0,0.023,-4.18,-3.27,-5.09
Puka Nacua,receiving-yards,caesars,85.5,-115,draftkings,87.5,-112,2.0,0.018,-4.2,-6.33,-2.07
Khalil Shakir,receiving-yards,draftkings,43.5,-112,caesars,44.5,-113,1.0,0.014,-4.27,-2.8,-5.75
