player_name,stat_field,line,category_original,team,opponent,home_away,over_odds,over_book,under_odds,under_book,moneyline_odds,moneyline_book,site_projection,projection_diff
Joe Burrow,pass_yds,265.5,passing-yards,cin,tam,h,-115,fanatics,-114,riverscasino,,,269.0,-0.5
Matthew Stafford,pass_yds,260.5,passing-yards,,sfo,h,-110,bet365,-110,fanatics,,,265.0,-0.5
Jared Goff,pass_yds,261.5,passing-yards,det,nor,h,-114,fanduel,-110,bet365,,,270.0,6.5
Dak Prescott,pass_yds,254.5,passing-yards,dal,nyg,a,-110,bet365,-113,draftkings,,,260.0,-1.5
Tyler Shough,pass_yds,241.5,passing-yards,nor,det,a,-110,bet365,-111,draftkings,,,245.0,-1.5
Brock Purdy,pass_yds,243.5,passing-yards,sfo,,a,-113,draftkings,-114,fanduel,,,246.0,2.5
Jahmyr Gibbs,rush_yds,81.5,rushing-yards,det,nor,h,-110,bet365,-114,riverscasino,,,84.0,0.5
Derrick Henry,rush_yds,77.5,rushing-yards,bal,ind,a,-115,riverscasino,-110,draftkings,,,84.0,3.5
Jonathan Taylor,rush_yds,75.5,rushing-yards,ind,bal,h,-120,fanatics,-112,draftkings,,,78.0,-0.5
Saquon Barkley,rush_yds,75.5,rushing-yards,phi,was,h,-114,caesars,-110,bet365,,,77.0,-0.5
James Cook,rush_yds,70.5,rushing-yards,buf,hou,a,-110,bet365,-112,draftkings,,,77.0,1.5
Bijan Robinson,rush_yds,73.5,rushing-yards,atl,pit,a,-111,draftkings,-114,fanduel,,,80.0,6.5
Puka Nacua,rec_yds,86.5,receiving-yards,,sfo,h,-110,bet365,-110,fanatics,,,95.0,4.5
Ja'Marr Chase,rec_yds,85.5,receiving-yards,cin,tam,h,-114,fanduel,-110,bet365,,,88.0,-2.5
Jaxon Smith-Njigba,rec_yds,80.5,receiving-yards,sea,nwe,h,-110,bet365,-114,fanduel,,,92.0,11.5
Amon-Ra St. Brown,rec_yds,75.5,receiving-yards,det,nor,h,-135,bet365,-113,riverscasino,,,78.0,0.5
Chris Olave,rec_yds,75.5,receiving-yards,nor,det,a,-110,bet365,-113,draftkings,,,76.0,-0.5
Justin Jefferson,rec_yds,70.5,receiving-yards,min,gnb,h,-120,fanatics,-112,draftkings,,,76.0,1.5
Ja'Marr Chase,rec,7.5,receptions,cin,tam,h,+118,caesars,-119,draftkings,,,7.3,-0.2
Puka Nacua,rec,7.5,receptions,,sfo,h,+116,fanduel,-140,fanatics,,,7.3,-0.2
Jaxon Smith-Njigba,rec,6.5,receptions,sea,nwe,h,-102,fanduel,-115,bet365,,,6.4,-0.1
Amon-Ra St. Brown,rec,6.5,receptions,det,nor,h,-105,draftkings,-114,fanduel,,,6.5,0.0
Chris Olave,rec,6.5,receptions,nor,det,a,+102,caesars,-115,bet365,,,6.1,-0.4
CeeDee Lamb,rec,6.5,receptions,dal,nyg,a,+120,bet365,-135,fanatics,,,5.9,-0.6
Max Klare,any_td,0.5,touchdowns,,sfo,h,,,,,+1300,fanduel,0.02,-3600.0
Chris Bell,any_td,0.5,touchdowns,mia,lvr,a,,,,,-1400,hardrock,0.139,-2019.42
Jahmyr Gibbs,any_td,0.5,touchdowns,det,nor,h,,,,,-260,bet365,0.69,-304.93
Travis Homer,any_td,0.5,touchdowns,pit,atl,h,,,,,+3000,fanatics,0.0,0.0
Gavin Bartholomew,any_td,0.5,touchdowns,min,gnb,h,,,,,+2000,fanduel,0.0,0.0
