player_name,stat_field,line,category_original,team,opponent,home_away,over_odds,over_book,under_odds,under_book,moneyline_odds,moneyline_book,site_projection,projection_diff
Jared Goff,pass_yds,261.5,passing-yards,det,buf,a,-115,bet365,-114,fanduel,,,260.0,-6.5
Matthew Stafford,pass_yds,242.5,passing-yards,lar,nyg,h,-114,fanduel,-115,riverscasino,,,250.0,-2.5
Josh Allen,pass_yds,248.5,passing-yards,buf,det,h,-114,fanduel,-115,bet365,,,245.0,-5.5
Joe Burrow,pass_yds,245.5,passing-yards,cin,hou,a,-120,fanatics,-112,draftkings,,,255.0,4.5
Jordan Love,pass_yds,245.5,passing-yards,gnb,nyj,a,-120,fanatics,-115,bet365,,,240.0,-8.5
C.J. Stroud,pass_yds,239.5,passing-yards,hou,cin,h,-115,caesars,-111,draftkings,,,230.0,-10.5
Jayden Daniels,rush_yds,35.5,rushing-yards,was,dal,a,-140,fanatics,-114,fanduel,,,37.0,0.5
Jahmyr Gibbs,rush_yds,90.5,rushing-yards,det,buf,a,-110,bet365,-110,fanatics,,,93.0,2.5
Jonathan Taylor,rush_yds,81.5,rushing-yards,ind,kan,a,-115,bet365,-114,caesars,,,90.0,2.5
Jacory Croskey-Merritt,rush_yds,55.5,rushing-yards,was,dal,a,-125,fanatics,-113,caesars,,,54.0,-4.5
Derrick Henry,rush_yds,80.5,rushing-yards,bal,nor,h,-125,fanatics,-115,bet365,,,101.0,17.5
James Cook,rush_yds,75.5,rushing-yards,buf,det,h,-125,fanatics,-111,draftkings,,,80.0,1.5
Puka Nacua,rec_yds,85.5,receiving-yards,lar,nyg,h,-114,fanduel,-115,bet365,,,92.0,6.5
Amon-Ra St. Brown,rec_yds,75.5,receiving-yards,det,buf,a,-135,fanatics,-113,draftkings,,,84.0,3.5
Jaxon Smith-Njigba,rec_yds,75.5,receiving-yards,sea,ari,a,-125,fanatics,-115,bet365,,,86.0,7.5
Justin Jefferson,rec_yds,75.5,receiving-yards,min,chi,a,-125,fanatics,-115,bet365,,,81.0,3.5
Ja'Marr Chase,rec_yds,75.5,receiving-yards,cin,hou,a,-115,bet365,-115,bet365,,,75.0,-0.5
Malik Nabers,rec_yds,60.5,receiving-yards,nyg,lar,a,-135,fanatics,-114,fanduel,,,65.0,-0.5
Amon-Ra St. Brown,rec,7.5,receptions,det,buf,a,+115,bet365,-121,draftkings,,,7.6,0.1
Terry McLaurin,rec,3.5,receptions,was,dal,a,-172,fanduel,+128,fanduel,,,3.9,0.4
Puka Nacua,rec,6.5,receptions,lar,nyg,h,-125,hardrock,+110,bet365,,,7.1,0.6
Ja'Marr Chase,rec,6.5,receptions,cin,hou,a,+120,bet365,-150,bet365,,,6.5,0.0
Justin Jefferson,rec,5.5,receptions,min,chi,a,-150,bet365,+120,bet365,,,6.5,1.0
Trey McBride,rec,5.5,receptions,ari,sea,h,-145,bet365,+115,bet365,,,6.0,0.5
Derrick Henry,any_td,0.5,touchdowns,bal,nor,h,,,,,-190,bet365,0.693,-234.3
Christian McCaffrey,any_td,0.5,touchdowns,sfo,mia,h,,,,,-185,bet365,0.626,-244.74
