year,week,slate_id
2022,1,3634
2022,2,3642
2022,3,3730
2022,4,3735
2022,5,3821
2022,6,3827
2022,7,3915
2022,8,3921
2022,9,3996
2022,10,4002
2022,11,4086
2022,12,4093
2022,13,4170
2022,14,4173
2022,15,4178
2022,16,4273
2022,17,4279
2022,18,4358
2023,1,5441
2023,2,5451
2023,3,5521
2023,4,5534
2023,5,5606
2023,6,5614
2023,7,5682
2023,8,5686
2023,9,5764
2023,10,5769
2023,11,5842
2023,12,5850
2023,13,5923
2023,14,5931
2023,15,6000
2023,16,6001
2023,17,6011
2023,18,6102
2024,1,7440
2024,2,7445
2024,3,7505
2024,4,7515
2024,5,7518
2024,6,7589
2024,7,7597
2024,8,7660
2024,9,7666
2024,10,7729
2024,11,7730
2024,12,7733
2024,13,7817
2024,14,7824
2024,15,7885
2024,16,7889
2024,17,7969
2024,18,8061
2025,1,9203
2025,2,9268
2025,3,9276
2025,4,9329
2025,5,9334
2025,6,9393
2025,7,9398
2025,8,9465
2025,9,9466
2025,10,9475
2025,11,9475
2025,12,9475
2025,13,9475
2025,14,9475
2025,15,9475
2025,16,9475
2025,17,9475
2025,18,9475
