player_name,category,team,line,over_book,over_odds,under_book,under_odds,profit_pct,stake_over,stake_under,guaranteed_profit
Derrick Henry,receptions,bal,1.5,draftkings,176,hardrock,-120.0,10.16,39.91,60.09,10.15
Harrison Mevis,kicking-points,,8.5,sleeper,118,hardrock,100.0,4.31,47.85,52.15,4.31
Odell Beckham,receptions,nyg,1.5,fanatics,180,fanduel,-154.0,3.79,37.07,62.93,3.8
Quinshon Judkins,rush-attempts,cle,15.5,fanduel,106,caesars,105.0,2.75,49.88,50.12,2.75
Deshaun Watson,interceptions,cle,0.5,fanduel,-148,riverscasino,165.0,2.66,61.26,38.74,2.65
Rashid Shaheed,rushing-and-receiving-yards,sea,36.5,caesars,127,hardrock,-115.0,2.52,45.16,54.84,2.51
Quinshon Judkins,receptions,cle,1.5,draftkings,-127,hardrock,140.0,2.44,57.31,42.69,2.44
Kalif Raymond,receptions,chi,1.5,fanatics,115,draftkings,-106.0,2.07,47.48,52.52,2.08
George Kittle,receptions,sfo,3.5,hardrock,-115,draftkings,123.0,1.7,54.4,45.6,1.7
Jacoby Brissett,rushing-yards,ari,10.5,fanatics,120,fanduel,-114.0,1.29,46.04,53.96,1.29
Deshaun Watson,rushing-yards,cle,15.5,riverscasino,100,fanatics,105.0,1.23,50.62,49.38,1.24
