book,player_name,category,team,side,line,odds,fair_prob,implied_prob,ev_pct,quarter_kelly_pct,fair_odds,ref_books,ref_lines,same_line_refs,best_other_same_line,line_adjusted,market,model
draftkings,Davante Adams,receptions,lar,Under,5.5,-153,0.6922,0.6047,14.47,5.53,-225,3,"3.5,4.5,5.5",1,fanduel -148,True,two-way,poisson
draftkings,Adam Trautman,receiving-yards,den,Under,10.5,-117,0.5715,0.5392,6.0,1.75,-133,5,"10.5,8.5",1,fanatics -135,True,two-way,normal
draftkings,Alec Pierce,receiving-yards,ind,Over,41.5,-113,0.5533,0.5305,4.29,1.21,-124,6,"40.5,44.5,45.5",0,,True,two-way,normal
draftkings,Emari Demercado,rushing-yards,dal,Under,12.5,-114,0.5554,0.5327,4.27,1.22,-125,5,"10.5,11.5,9.5",0,,True,two-way,normal
caesars,Jacory Croskey-Merritt,rush-attempts,was,Over,12.5,100,0.5196,0.5,3.91,0.98,-108,6,"12.5,13.5",4,draftkings -113,True,two-way,normal
draftkings,Kaelon Black,rush-attempts,sfo,Over,8.5,-132,0.5905,0.569,3.79,1.25,-144,3,"8.5,9.5",1,caesars -145,True,two-way,normal
draftkings,Jadarian Price,rushing-and-receiving-yards,sea,Under,77.5,-115,0.551,0.5349,3.01,0.86,-123,5,"72.5,73.5,74.5",0,,True,two-way,normal
draftkings,Trey McBride,receiving-yards,ari,Under,65.5,-110,0.5393,0.5238,2.95,0.81,-117,6,"60.5,61.5,62.5,63.5",0,,True,two-way,normal
draftkings,Kyren Williams,rushing-and-receiving-yards,lar,Under,87.5,-114,0.5483,0.5327,2.93,0.83,-121,3,"80.5,82.5,83.5",0,,True,two-way,normal
draftkings,Omarion Hampton,rush-attempts,lac,Under,16.5,-107,0.5306,0.5169,2.65,0.71,-113,5,"15.5,16.5",4,caesars -117,True,two-way,normal
draftkings,Xavier Worthy,receiving-yards,kan,Under,40.5,-110,0.5375,0.5238,2.61,0.72,-116,6,"35.5,36.5,37.5,38.5,40.5",1,betmgm -115,True,two-way,normal
draftkings,Michael Wilson,receptions,ari,Under,3.5,116,0.4745,0.463,2.5,0.54,111,6,3.5,6,caesars +106,False,two-way,poisson
draftkings,Marvin Harrison,receptions,ari,Under,3.5,-137,0.5915,0.5781,2.33,0.8,-145,5,"2.5,3.5",4,fanatics -150,True,two-way,poisson
caesars,Oronde Gadsden,receptions,lac,Over,1.5,111,0.4847,0.4739,2.26,0.51,106,4,1.5,4,fanduel -102,False,two-way,poisson
draftkings,Dak Prescott,pass-attempts,dal,Under,34.5,-106,0.5256,0.5146,2.15,0.57,-111,6,"33.5,34.5",3,fanatics -110,True,two-way,normal
