book,player_name,team,category,line,side,odds,implied_prob,model_prob,ev_pct,hist_rate,weighted_rate,last3_rate,market_prob,market_source,avg_targets,avg_carries,last_snap_pct,team_changed,team_pass_att_pg,players_with_catch_pg,home_team,roof,forecast_wind_mph,forecast_temp_f,condition,weather_note,bad_passing_weather,weather_lean
draftkings,Bhayshul Tuten,jax,receptions,1.5,Under,-114,0.533,0.729,36.8,13/15,0.946,3/3,0.518,5 other book(s),1.0,6.2,49.1,False,32.6,7.5,den,outdoor,7.0,70.0,Chance Thunderstorms,,False,
caesars,Adam Trautman,den,receptions,1.5,Over,165,0.377,0.509,34.8,8/16,0.662,3/3,0.359,6 other book(s),1.6,0.0,37.3,False,36.4,8.4,den,outdoor,7.0,70.0,Chance Thunderstorms,,False,
draftkings,Adam Trautman,den,receptions,1.5,Over,161,0.383,0.506,32.2,8/16,0.662,3/3,0.354,6 other book(s),1.6,0.0,37.3,False,36.4,8.4,den,outdoor,7.0,70.0,Chance Thunderstorms,,False,
caesars,Bhayshul Tuten,jax,receptions,1.5,Under,-124,0.554,0.721,30.2,13/15,0.946,3/3,0.502,5 other book(s),1.0,6.2,49.1,False,32.6,7.5,den,outdoor,7.0,70.0,Chance Thunderstorms,,False,
draftkings,John Bates,was,receptions,1.5,Under,123,0.448,0.565,26.0,12/15,0.713,2/3,0.422,4 other book(s),1.1,0.0,48.6,False,28.3,7.1,dal,dome,,,Slight Chance Thunderstorms,dome: pass yds +7,False,
caesars,John Bates,was,receptions,1.5,Under,122,0.45,0.566,25.5,12/15,0.713,2/3,0.423,4 other book(s),1.1,0.0,48.6,False,28.3,7.1,dal,dome,,,Slight Chance Thunderstorms,dome: pass yds +7,False,
draftkings,Rashid Shaheed,sea,receptions,1.5,Under,145,0.408,0.512,25.4,6/16,0.606,3/3,0.419,1 other book(s),5.0,0.6,66.0,False,28.2,6.2,ari,dome,,,Partly Cloudy,dome: pass yds +7,False,
caesars,Oronde Gadsden,lac,receptions,1.5,Over,-102,0.505,0.562,11.3,10/14,0.636,2/3,0.491,5 other book(s),4.5,0.0,18.2,False,32.5,6.8,lac,dome,,,Mostly Cloudy,dome: pass yds +7,False,
caesars,Chris Bell,mia,receptions,1.5,Under,107,0.483,0.528,9.3,1/1,1.0,1/1,0.449,2 other book(s),2.0,0.0,51.8,False,28.3,7.0,sfo,outdoor,5.0,70.0,Mostly Cloudy,,False,
draftkings,Jadarian Price,sea,receptions,1.5,Over,-112,0.528,0.571,8.2,1/1,1.0,1/1,0.5,4 other book(s),2.0,10.0,48.0,False,28.2,6.2,ari,dome,,,Partly Cloudy,dome: pass yds +7,False,
draftkings,Noah Gray,kan,receptions,1.5,Under,-183,0.647,0.699,8.1,11/16,0.778,3/3,0.621,6 other book(s),2.1,0.0,55.1,False,34.1,7.3,kan,outdoor,5.0,75.0,Likely Rain Showers,,False,
caesars,Jadarian Price,sea,receptions,1.5,Over,-114,0.533,0.571,7.3,1/1,1.0,1/1,0.5,4 other book(s),2.0,10.0,48.0,False,28.2,6.2,ari,dome,,,Partly Cloudy,dome: pass yds +7,False,
draftkings,Oronde Gadsden,lac,receptions,1.5,Over,-110,0.524,0.561,7.2,10/14,0.636,2/3,0.49,5 other book(s),4.5,0.0,18.2,False,32.5,6.8,lac,dome,,,Mostly Cloudy,dome: pass yds +7,False,
draftkings,Chris Bell,mia,receptions,1.5,Under,103,0.493,0.523,6.2,1/1,1.0,1/1,0.444,2 other book(s),2.0,0.0,51.8,False,28.3,7.0,sfo,outdoor,5.0,70.0,Mostly Cloudy,,False,
caesars,Noah Gray,kan,receptions,1.5,Under,-200,0.667,0.696,4.4,11/16,0.778,3/3,0.616,6 other book(s),2.1,0.0,55.1,False,34.1,7.3,kan,outdoor,5.0,75.0,Likely Rain Showers,,False,
draftkings,Demarcus Robinson,sfo,receptions,1.5,Over,-156,0.609,0.63,3.4,8/14,0.685,3/3,0.578,5 other book(s),2.4,0.1,63.1,False,34.2,7.3,sfo,outdoor,5.0,70.0,Mostly Cloudy,,False,
