player_name,category,team,low_book,low_line,low_over_odds,high_book,high_line,high_under_odds,middle_width,books_compared
Jeremiyah Love,rushing-yards,ari,bet365,34.5,-110,prizepicks,57.5,-137.0,23.0,4
Malik Willis,passing-yards,mia,underdog,168.5,-137,fanduel,184.5,-114.0,16.0,8
Rhamondre Stevenson,rushing-and-receiving-yards,nwe,caesars,58.5,-117,underdog,73.5,-137.0,15.0,9
Baker Mayfield,passing-yards,tam,bet365,229.5,-110,caesars,243.5,-115.0,14.0,9
Christian McCaffrey,rushing-and-receiving-yards,sfo,caesars,91.5,-117,draftkings,103.5,-114.0,12.0,10
Jared Goff,passing-yards,det,fanatics,255.5,-110,bet365,266.5,-110.0,11.0,9
Jayden Daniels,passing-yards,was,fanatics,195.5,-120,prizepicks,206.5,-137.0,11.0,9
Kirk Cousins,passing-yards,lvr,fanatics,205.5,-120,fanduel,215.5,-114.0,10.0,8
Baker Mayfield,passing-and-rushing-yards,tam,bet365,249.5,-115,riverscasino,259.5,-114.0,10.0,7
Bryce Young,passing-and-rushing-yards,car,fanduel,223.5,-114,bet365,233.5,-115.0,10.0,6
Caleb Williams,passing-yards,chi,fanatics,225.5,-115,underdog,235.5,-137.0,10.0,9
Bo Nix,passing-yards,den,bet365,218.5,-110,caesars,228.5,-114.0,10.0,9
Bryce Young,passing-yards,car,fanatics,205.5,-120,bet365,214.5,-110.0,9.0,8
Geno Smith,passing-yards,nyj,sleeper,203.5,-130,fanduel,212.5,-114.0,9.0,8
Josh Allen,passing-and-rushing-yards,buf,bet365,247.5,-115,fanduel,256.5,-114.0,9.0,6
Jalen Hurts,passing-and-rushing-yards,phi,riverscasino,241.5,-115,prizepicks,250.5,-137.0,9.0,6
Zay Flowers,receiving-yards,bal,fanatics,60.5,-125,riverscasino,69.5,-114.0,9.0,9
KC Concepcion,rushing-and-receiving-yards,cle,underdog,26.5,-137,bet365,35.5,-115.0,9.0,2
Greg Dulcich,receiving-yards,mia,underdog,16.5,-137,bet365,25.5,-110.0,9.0,5
Caleb Williams,passing-and-rushing-yards,chi,fanduel,249.5,-114,bet365,257.5,-115.0,8.0,6
Geno Smith,passing-and-rushing-yards,nyj,prizepicks,210.5,-137,riverscasino,218.5,-115.0,8.0,4
Drake Maye,passing-yards,nwe,riverscasino,224.5,-115,fanduel,232.5,-114.0,8.0,9
Kyren Williams,rushing-and-receiving-yards,,caesars,65.5,-115,prizepicks,73.5,-137.0,8.0,9
Patrick Mahomes,passing-and-rushing-yards,kan,riverscasino,243.5,-117,underdog,251.5,-137.0,8.0,5
Lamar Jackson,passing-yards,bal,fanatics,215.5,-120,prizepicks,223.5,-137.0,8.0,9
Josh Allen,passing-yards,buf,bet365,215.5,-110,underdog,223.5,-137.0,8.0,9
Jayden Daniels,passing-and-rushing-yards,was,riverscasino,242.5,-115,prizepicks,250.5,-137.0,8.0,6
Drake Maye,passing-and-rushing-yards,nwe,riverscasino,253.5,-114,fanduel,261.5,-114.0,8.0,6
Kalif Raymond,receiving-yards,chi,sleeper,12.5,-125,bet365,19.5,-110.0,7.0,5
Isaiah Likely,receiving-yards,nyg,prizepicks,33.5,-137,fanatics,40.5,-120.0,7.0,5
Dak Prescott,passing-yards,dal,bet365,254.5,-110,draftkings,261.5,-113.0,7.0,9
C.J. Stroud,passing-yards,hou,fanatics,215.5,-115,caesars,222.5,-114.0,7.0,9
Daniel Jones,passing-yards,ind,bet365,226.5,-110,fanduel,233.5,-114.0,7.0,9
Aaron Rodgers,passing-yards,pit,fanatics,210.5,-115,riverscasino,217.5,-114.0,7.0,8
Rico Dowdle,rushing-and-receiving-yards,pit,fanatics,60.5,-125,draftkings,67.5,-115.0,7.0,8
Trevor Lawrence,passing-yards,jax,bet365,231.5,-110,fanduel,238.5,-114.0,7.0,9
Patrick Mahomes,passing-yards,kan,sleeper,225.5,-128,bet365,232.5,-110.0,7.0,9
Travis Etienne,rushing-yards,nor,fanatics,50.5,-120,fanduel,56.5,-114.0,6.0,9
De'Von Achane,rushing-yards,mia,bet365,64.5,-110,underdog,70.5,-137.0,6.0,8
Deshaun Watson,passing-yards,cle,riverscasino,172.5,-117,underdog,178.5,-137.0,6.0,9
Matthew Stafford,passing-yards,,bet365,260.5,-110,prizepicks,266.5,-137.0,6.0,9
Omarion Hampton,rushing-yards,lac,caesars,61.5,-113,underdog,67.5,-137.0,6.0,8
Kyler Murray,passing-and-rushing-yards,min,fanduel,246.5,-114,bet365,252.5,-115.0,6.0,6
Lamar Jackson,passing-and-rushing-yards,bal,bet365,255.5,-115,riverscasino,261.5,-115.0,6.0,6
David Montgomery,rushing-and-receiving-yards,hou,riverscasino,63.5,-118,bet365,69.5,-115.0,6.0,7
Chase Brown,rushing-yards,cin,fanatics,55.5,-125,underdog,61.5,-137.0,6.0,9
Joe Burrow,passing-yards,cin,fanatics,265.5,-115,riverscasino,271.5,-114.0,6.0,9
Jaylen Warren,rushing-and-receiving-yards,pit,fanatics,55.5,-130,draftkings,61.5,-115.0,6.0,8
KC Concepcion,receiving-yards,cle,caesars,29.5,-115,fanatics,35.5,-125.0,6.0,8
Drake London,receiving-yards,atl,draftkings,59.5,-113,underdog,65.5,-137.0,6.0,8
Jaylen Warren,rushing-yards,pit,bet365,35.5,-110,draftkings,41.5,-110.0,6.0,8
De'Von Achane,rushing-and-receiving-yards,mia,fanatics,100.5,-120,draftkings,106.5,-111.0,6.0,9
David Montgomery,rushing-yards,hou,fanatics,50.5,-125,underdog,56.5,-137.0,6.0,9
Jaxson Dart,passing-yards,nyg,draftkings,213.5,-112,prizepicks,219.5,-137.0,6.0,8
Khalil Shakir,receiving-yards,buf,bet365,33.5,-110,riverscasino,39.5,-114.0,6.0,9
Christian Watson,longest-reception,gnb,hardrock,19.5,-115,bet365,24.5,-115.0,5.0,5
DK Metcalf,receiving-yards,pit,bet365,45.5,-110,prizepicks,50.5,-137.0,5.0,8
Bucky Irving,rushing-and-receiving-yards,tam,riverscasino,71.5,-113,draftkings,76.5,-114.0,5.0,8
Bijan Robinson,rushing-yards,atl,draftkings,73.5,-111,fanduel,78.5,-114.0,5.0,8
Amon-Ra St. Brown,receiving-yards,det,bet365,75.5,-135,riverscasino,80.5,-113.0,5.0,9
Cam Ward,passing-yards,ten,fanduel,201.5,-114,draftkings,206.5,-112.0,5.0,7
Dalton Schultz,receiving-yards,hou,fanatics,30.5,-135,caesars,35.5,-113.0,5.0,9
James Cook,rushing-yards,buf,bet365,70.5,-110,draftkings,75.5,-112.0,5.0,9
James Cook,receiving-yards,buf,fanatics,10.5,-150,underdog,15.5,-137.0,5.0,5
Javonte Williams,rushing-yards,dal,bet365,68.5,-110,riverscasino,73.5,-114.0,5.0,9
Dontayvion Wicks,receiving-yards,phi,fanatics,20.5,-135,underdog,25.5,-137.0,5.0,5
DeMario Douglas,receiving-yards,nwe,fanatics,15.5,-135,riverscasino,20.5,-118.0,5.0,9
Ja'Marr Chase,receiving-yards,cin,caesars,85.5,-117,draftkings,90.5,-114.0,5.0,9
Jalen Nailor,receiving-yards,lvr,fanatics,15.5,-135,underdog,20.5,-137.0,5.0,5
Jameson Williams,receiving-yards,det,bet365,55.5,-110,riverscasino,60.5,-115.0,5.0,9
Mark Andrews,receiving-yards,bal,fanatics,30.5,-135,riverscasino,35.5,-112.0,5.0,9
Mike Evans,receiving-yards,sfo,bet365,46.5,-110,draftkings,51.5,-110.0,5.0,9
Malik Willis,rushing-yards,mia,fanatics,35.5,-115,underdog,40.5,-137.0,5.0,5
Kenneth Walker,rushing-yards,kan,prizepicks,59.5,-137,draftkings,64.5,-114.0,5.0,9
Kyler Murray,passing-yards,min,fanatics,220.5,-110,bet365,225.5,-110.0,5.0,9
Malik Nabers,rushing-and-receiving-yards,nyg,bet365,60.5,-115,underdog,65.5,-137.0,5.0,2
Puka Nacua,receiving-yards,,bet365,86.5,-110,underdog,91.5,-137.0,5.0,9
Saquon Barkley,rushing-and-receiving-yards,phi,riverscasino,94.5,-113,draftkings,99.5,-111.0,5.0,9
