player_name,category,team,low_book,low_line,low_over_odds,high_book,high_line,high_under_odds,middle_width,books_compared,stake_over,stake_under,loss_if_miss,profit_if_middle_hits
Rhamondre Stevenson,rushing-and-receiving-yards,nwe,caesars,58.5,-117,draftkings,72.5,-112.0,14.0,6,50.51,49.49,-6.32,87.36
Malik Willis,passing-yards,mia,draftkings,170.5,-111,fanduel,184.5,-114.0,14.0,5,49.69,50.31,-5.55,88.9
Baker Mayfield,passing-yards,tam,fanatics,230.5,-115,caesars,243.5,-115.0,13.0,6,50.0,50.0,-6.52,86.96
Christian McCaffrey,rushing-and-receiving-yards,sfo,caesars,91.5,-117,draftkings,103.5,-114.0,12.0,7,50.3,49.7,-6.71,86.59
Jayden Daniels,passing-yards,was,fanatics,195.5,-120,fanduel,205.5,-114.0,10.0,6,50.59,49.41,-7.25,85.5
Kirk Cousins,passing-yards,lvr,fanatics,205.5,-120,fanduel,215.5,-114.0,10.0,5,50.59,49.41,-7.25,85.5
Baker Mayfield,passing-and-rushing-yards,tam,draftkings,250.5,-113,riverscasino,259.5,-114.0,9.0,4,49.9,50.1,-5.95,88.11
Geno Smith,passing-yards,nyj,sleeper,203.5,-130,fanduel,212.5,-114.0,9.0,5,51.48,48.52,-8.92,82.16
Zay Flowers,receiving-yards,bal,fanatics,60.5,-125,riverscasino,69.5,-114.0,9.0,6,51.05,48.95,-8.11,83.78
Drake Maye,passing-and-rushing-yards,nwe,riverscasino,253.5,-114,fanduel,261.5,-114.0,8.0,3,50.0,50.0,-6.14,87.72
Drake Maye,passing-yards,nwe,riverscasino,224.5,-115,fanduel,232.5,-114.0,8.0,6,50.1,49.9,-6.33,87.34
Patrick Mahomes,passing-and-rushing-yards,kan,riverscasino,243.5,-117,sleeper,251.5,-128.0,8.0,2,48.99,51.01,-9.14,81.72
Jared Goff,passing-yards,det,fanatics,255.5,-110,draftkings,263.5,-111.0,8.0,6,49.89,50.11,-4.75,90.5
Bo Nix,passing-yards,den,fanatics,220.5,-120,caesars,228.5,-114.0,8.0,6,50.59,49.41,-7.25,85.5
Lamar Jackson,passing-yards,bal,fanatics,215.5,-120,fanduel,223.5,-114.0,8.0,6,50.59,49.41,-7.25,85.5
Bryce Young,passing-and-rushing-yards,car,fanduel,223.5,-114,riverscasino,231.5,-117.0,8.0,3,49.7,50.3,-6.71,86.59
C.J. Stroud,passing-yards,hou,fanatics,215.5,-115,caesars,222.5,-114.0,7.0,6,50.1,49.9,-6.33,87.34
Rico Dowdle,rushing-and-receiving-yards,pit,fanatics,60.5,-125,draftkings,67.5,-115.0,7.0,5,50.95,49.05,-8.29,83.41
Bryce Young,passing-yards,car,fanatics,205.5,-120,riverscasino,212.5,-117.0,7.0,5,50.29,49.71,-7.8,84.4
Aaron Rodgers,passing-yards,pit,fanatics,210.5,-115,riverscasino,217.5,-114.0,7.0,5,50.1,49.9,-6.33,87.34
Josh Allen,passing-and-rushing-yards,buf,sleeper,249.5,-128,fanduel,256.5,-114.0,7.0,3,51.31,48.69,-8.6,82.8
Trevor Lawrence,passing-yards,jax,riverscasino,232.5,-115,fanduel,238.5,-114.0,6.0,6,50.1,49.9,-6.33,87.34
Travis Etienne,rushing-yards,nor,fanatics,50.5,-120,fanduel,56.5,-114.0,6.0,6,50.59,49.41,-7.25,85.5
Jaylen Warren,rushing-yards,pit,fanatics,35.5,-135,draftkings,41.5,-110.0,6.0,5,52.31,47.69,-8.95,82.1
Kyren Williams,rushing-and-receiving-yards,,caesars,65.5,-115,draftkings,71.5,-112.0,6.0,6,50.31,49.69,-5.94,88.11
KC Concepcion,receiving-yards,cle,caesars,29.5,-115,fanatics,35.5,-125.0,6.0,5,49.05,50.95,-8.29,83.41
Joe Burrow,passing-yards,cin,fanatics,265.5,-115,riverscasino,271.5,-114.0,6.0,6,50.1,49.9,-6.33,87.34
Jayden Daniels,passing-and-rushing-yards,was,riverscasino,242.5,-115,sleeper,248.5,-128.0,6.0,3,48.79,51.21,-8.78,82.43
Jalen Hurts,passing-and-rushing-yards,phi,riverscasino,241.5,-115,sleeper,247.5,-130.0,6.0,3,48.62,51.38,-9.1,81.8
Caleb Williams,passing-and-rushing-yards,chi,fanduel,249.5,-114,sleeper,255.5,-128.0,6.0,3,48.69,51.31,-8.6,82.8
Dak Prescott,passing-yards,dal,fanatics,255.5,-120,draftkings,261.5,-113.0,6.0,6,50.69,49.31,-7.06,85.88
Caleb Williams,passing-yards,chi,fanatics,225.5,-115,caesars,231.5,-113.0,6.0,6,50.2,49.8,-6.14,87.72
Deshaun Watson,passing-yards,cle,riverscasino,172.5,-117,fanduel,178.5,-114.0,6.0,6,50.3,49.7,-6.71,86.59
De'Von Achane,rushing-and-receiving-yards,mia,fanatics,100.5,-120,draftkings,106.5,-111.0,6.0,6,50.9,49.1,-6.67,86.65
Jaylen Warren,rushing-and-receiving-yards,pit,fanatics,55.5,-130,draftkings,61.5,-115.0,6.0,5,51.38,48.62,-9.1,81.8
Amon-Ra St. Brown,receiving-yards,det,fanatics,75.5,-115,riverscasino,80.5,-113.0,5.0,6,50.2,49.8,-6.14,87.72
Bijan Robinson,rushing-yards,atl,draftkings,73.5,-111,fanduel,78.5,-114.0,5.0,5,49.69,50.31,-5.55,88.9
DeMario Douglas,receiving-yards,nwe,fanatics,15.5,-135,riverscasino,20.5,-118.0,5.0,6,51.49,48.51,-10.37,79.25
De'Von Achane,rushing-yards,mia,fanatics,65.5,-135,sleeper,70.5,-130.0,5.0,5,50.41,49.59,-12.26,75.49
Chase Brown,rushing-yards,cin,fanatics,55.5,-125,riverscasino,60.5,-115.0,5.0,6,50.95,49.05,-8.29,83.41
Dalton Schultz,receiving-yards,hou,fanatics,30.5,-135,caesars,35.5,-113.0,5.0,6,51.99,48.01,-9.5,81.0
Bucky Irving,rushing-and-receiving-yards,tam,riverscasino,71.5,-113,draftkings,76.5,-114.0,5.0,5,49.9,50.1,-5.95,88.11
Cam Ward,passing-yards,ten,fanduel,201.5,-114,draftkings,206.5,-112.0,5.0,4,50.21,49.79,-5.75,88.5
James Cook,rushing-yards,buf,fanatics,70.5,-125,draftkings,75.5,-112.0,5.0,6,51.26,48.74,-7.74,84.53
Jameson Williams,receiving-yards,det,fanatics,55.5,-125,riverscasino,60.5,-115.0,5.0,6,50.95,49.05,-8.29,83.41
Drake London,receiving-yards,atl,draftkings,59.5,-113,riverscasino,64.5,-114.0,5.0,5,49.9,50.1,-5.95,88.11
Ja'Marr Chase,receiving-yards,cin,caesars,85.5,-117,draftkings,90.5,-114.0,5.0,6,50.3,49.7,-6.71,86.59
Kenneth Walker,rushing-yards,kan,fanduel,59.5,-114,draftkings,64.5,-114.0,5.0,6,50.0,50.0,-6.14,87.72
Mark Andrews,receiving-yards,bal,fanatics,30.5,-135,riverscasino,35.5,-112.0,5.0,6,52.09,47.91,-9.32,81.36
Omarion Hampton,rushing-yards,lac,caesars,61.5,-113,draftkings,66.5,-111.0,5.0,5,50.21,49.79,-5.36,89.29
Rhamondre Stevenson,rushing-yards,nwe,riverscasino,40.5,-114,fanatics,45.5,-125.0,5.0,6,48.95,51.05,-8.11,83.78
Saquon Barkley,rushing-and-receiving-yards,phi,riverscasino,94.5,-113,draftkings,99.5,-111.0,5.0,6,50.21,49.79,-5.36,89.29
Terry McLaurin,receiving-yards,was,draftkings,47.5,-115,fanduel,52.5,-114.0,5.0,6,50.1,49.9,-6.33,87.34
