player_name,category,team,low_book,low_line,low_over_odds,high_book,high_line,high_under_odds,middle_width,books_compared,stake_over,stake_under,loss_if_miss,profit_if_middle_hits,p_middle_hits,expected_value,note,market_mean,historical_std,historical_games
Jeremiyah Love,rushing-yards,ari,bet365,34.5,-110,prizepicks,57.5,-137.0,23.0,4,47.54,52.46,-9.25,81.51,,,"insufficient history (0 games, need 6+)",,,
Malik Willis,passing-yards,mia,underdog,168.5,-137,fanduel,184.5,-114.0,16.0,8,52.04,47.96,-9.97,80.06,0.1133,0.23,,174.0,56.09,20.0
Rhamondre Stevenson,rushing-and-receiving-yards,nwe,caesars,58.5,-117,underdog,73.5,-137.0,15.0,9,48.26,51.74,-10.49,79.01,0.1525,3.16,,68.94,38.89,65.0
Baker Mayfield,passing-yards,tam,bet365,229.5,-110,caesars,243.5,-115.0,14.0,9,49.48,50.52,-5.54,88.91,0.0774,1.77,,235.5,72.04,116.0
Christian McCaffrey,rushing-and-receiving-yards,sfo,caesars,91.5,-117,draftkings,103.5,-114.0,12.0,10,50.3,49.7,-6.71,86.59,0.0998,2.6,,100.4,47.76,109.0
Jared Goff,passing-yards,det,fanatics,255.5,-110,bet365,266.5,-110.0,11.0,9,50.0,50.0,-4.55,90.91,0.0556,0.76,,262.28,78.82,144.0
Jayden Daniels,passing-yards,was,fanatics,195.5,-120,prizepicks,206.5,-137.0,11.0,9,48.55,51.45,-10.99,78.01,0.0667,-5.05,,202.06,65.66,23.0
Kirk Cousins,passing-yards,lvr,fanatics,205.5,-120,fanduel,215.5,-114.0,10.0,8,50.59,49.41,-7.25,85.5,0.0458,-3.0,,211.0,87.1,167.0
Baker Mayfield,passing-and-rushing-yards,tam,bet365,249.5,-115,riverscasino,259.5,-114.0,10.0,7,50.1,49.9,-6.33,87.34,0.0548,-1.19,,251.79,72.64,116.0
Bryce Young,passing-and-rushing-yards,car,fanduel,223.5,-114,bet365,233.5,-115.0,10.0,6,49.9,50.1,-6.33,87.34,0.0515,-1.5,,230.5,77.32,43.0
Caleb Williams,passing-yards,chi,fanatics,225.5,-115,underdog,235.5,-137.0,10.0,9,48.06,51.94,-10.15,79.7,0.057,-5.03,,229.83,69.97,32.0
Bo Nix,passing-yards,den,bet365,218.5,-110,caesars,228.5,-114.0,10.0,9,49.58,50.42,-5.35,89.3,0.0597,0.3,,225.61,66.78,32.0
Bryce Young,passing-yards,car,fanatics,205.5,-120,bet365,214.5,-110.0,9.0,8,51.01,48.99,-6.48,87.04,0.0462,-2.16,,210.88,77.63,43.0
Geno Smith,passing-yards,nyj,sleeper,203.5,-130,fanduel,212.5,-114.0,9.0,8,51.48,48.52,-8.92,82.16,0.0371,-5.54,,206.0,96.81,105.0
Josh Allen,passing-and-rushing-yards,buf,bet365,247.5,-115,fanduel,256.5,-114.0,9.0,6,50.1,49.9,-6.33,87.34,0.0416,-2.44,,250.5,86.35,121.0
Jalen Hurts,passing-and-rushing-yards,phi,riverscasino,241.5,-115,prizepicks,250.5,-137.0,9.0,6,48.06,51.94,-10.15,79.7,0.0332,-7.17,,246.33,108.17,89.0
