player_name,category,team,book,line,consensus_mean,other_books_count,diff,diff_pct,direction
Geno Smith,passing-tds,nyj,draftkings,1.5,0.5,6,1.0,200.0,Higher than consensus
Jordan Mason,receptions,min,fanatics,1.5,0.5,2,1.0,200.0,Higher than consensus
Jayden Daniels,passing-tds,was,fanatics,1.5,0.5,6,1.0,200.0,Higher than consensus
Rashid Shaheed,rushing-yards,sea,fanatics,5.5,2.25,4,3.25,144.44,Higher than consensus
Jalen Nailor,receptions,lvr,fanduel,2.5,1.5,4,1.0,66.67,Higher than consensus
Derrick Henry,receptions,bal,sleeper,0.5,1.5,5,-1.0,-66.67,Lower than consensus
Derrick Henry,receiving-yards,bal,fanatics,10.5,6.5,4,4.0,61.54,Higher than consensus
Tua Tagovailoa,passing-tds,atl,draftkings,0.5,1.3,5,-0.8,-61.54,Lower than consensus
Tua Tagovailoa,passing-tds,atl,riverscasino,0.5,1.3,5,-0.8,-61.54,Lower than consensus
Rashid Shaheed,rushing-yards,sea,draftkings,1.5,3.25,4,-1.75,-53.85,Lower than consensus
Jordan Mason,receptions,min,hardrock,0.5,1.0,2,-0.5,-50.0,Lower than consensus
Justin Herbert,passing-tds,lac,riverscasino,2.5,1.67,6,0.83,50.0,Higher than consensus
Justin Herbert,passing-tds,lac,fanatics,2.5,1.67,6,0.83,50.0,Higher than consensus
Jordan Mason,receptions,min,sleeper,0.5,1.0,2,-0.5,-50.0,Lower than consensus
Rashod Bateman,receptions,bal,sleeper,2.5,1.7,5,0.8,47.06,Higher than consensus
Rashod Bateman,receptions,bal,hardrock,2.5,1.7,5,0.8,47.06,Higher than consensus
Javonte Williams,receptions,dal,fanduel,2.5,1.75,4,0.75,42.86,Higher than consensus
Javonte Williams,receptions,dal,draftkings,2.5,1.75,4,0.75,42.86,Higher than consensus
Jaylen Warren,receptions,pit,hardrock,3.5,2.5,5,1.0,40.0,Higher than consensus
Dontayvion Wicks,receptions,phi,hardrock,1.5,2.5,5,-1.0,-40.0,Lower than consensus
AJ Barner,receptions,sea,fanatics,3.5,2.5,5,1.0,40.0,Higher than consensus
Adonai Mitchell,receptions,nyj,fanatics,3.5,2.5,5,1.0,40.0,Higher than consensus
Chig Okonkwo,receptions,was,fanatics,3.5,2.5,5,1.0,40.0,Higher than consensus
Odell Beckham,receiving-yards,nyg,fanatics,10.5,7.5,5,3.0,40.0,Higher than consensus
Xavier Hutchinson,receptions,hou,sleeper,1.5,2.5,5,-1.0,-40.0,Lower than consensus
Tyjae Spears,receptions,ten,fanatics,3.5,2.5,5,1.0,40.0,Higher than consensus
Tua Tagovailoa,passing-tds,atl,caesars,1.5,1.1,5,0.4,36.36,Higher than consensus
